<DATABASE_ID>,<DATABASE_NAME>,<MOLECULAR_WEIGHT>,<JCHEM_ACCEPTOR_COUNT>,<JCHEM_AVERAGE_POLARIZABILITY>,<JCHEM_DONOR_COUNT>,<JCHEM_FORMAL_CHARGE>,<JCHEM_LOGP>,<JCHEM_NUMBER_OF_RINGS>,<JCHEM_PHYSIOLOGICAL_CHARGE>,<JCHEM_PKA>,<JCHEM_PKA_STRONGEST_ACIDIC>,<JCHEM_PKA_STRONGEST_BASIC>,<JCHEM_POLAR_SURFACE_AREA>,<JCHEM_REFRACTIVITY>,<JCHEM_ROTATABLE_BOND_COUNT>,<DRUGBANK_ID>
DB00198,drugbank,312.4045,4,34.64840068047427,2,0,1.1625985496666666,1,1,,14.033633753738549,9.308437965946721,90.64999999999999,84.20340000000002,8,DB00198
DB00201,drugbank,194.1906,3,18.954930921384214,0,0,-0.5456455916666669,2,0,,-0.9241843687844741,,58.440000000000005,49.8312,0,DB00201
DB00202,drugbank,290.399,2,33.154778734073865,0,2,-8.394079043610159,0,2,,-6.751914352242649,,52.6,100.94059999999999,11,DB00202
DB00203,drugbank,474.576,8,51.17739859334627,1,0,1.869200771666667,4,0,,11.144857276991443,5.992873256489963,109.13,139.44050000000001,6,DB00203
DB00204,drugbank,441.565,6,46.0314497578555,2,0,0.2379157528062352,2,1,10.777111708152624,10.145184001473005,8.989392984355275,104.81,113.27430000000003,9,DB00204
DB00205,drugbank,248.711,4,25.794130782433673,2,0,2.748303154333333,2,1,,17.222043955485603,7.773183579634736,77.82,71.54200000000002,2,DB00205
DB00206,drugbank,608.6787,8,66.05577570100877,1,0,3.531495942666668,6,1,,16.290112706432037,7.388997906353941,117.78,161.41849999999997,10,DB00206
DB00208,drugbank,263.786,1,27.988709092303782,0,0,4.195930255999999,3,1,,7.305803495158597,,3.24,74.32800000000002,2,DB00208
DB00210,drugbank,412.5201,3,47.65154823585963,1,0,6.458501423666666,6,-1,,3.9892612421177724,-4.8289204668822325,46.53,122.07189999999999,4,DB00210
DB00211,drugbank,254.2823,5,26.649608171336034,3,0,-0.9519464609999999,1,1,15.25703281593573,13.765053491042249,8.139313298334233,93.80999999999999,66.22380000000001,6,DB00211
DB00213,drugbank,383.37,6,35.16844686637351,1,0,2.1757533226666665,3,0,15.75737352285693,9.152252771451785,3.554451857291244,86.33,90.05200000000002,7,DB00213
